simb,n_simb,ucar_id,descr_ucar,tipo,cap_uso,ucar_ip,act
RS5,1,1958,Complejo Ramon Santamarina 5,Complejo,IIIes,68,0
RS6,1,1959,Complejo Ramon Santamarina 6,Complejo,IVws,42,0
RS7,1,1960,Complejo Ramon Santamarina 7,Complejo,IIIs,53,0
RS8,1,1961,Complejo Ramon Santamarina 8,Complejo,IIIes,63,0
Rs9,1,1962,Complejo Rosales 9,Complejo,VIws,16,0
RS9,1,1963,Asociacion Ramon Santamarina 9,Asociacion,IIIws,61,0
RT11,1,1964,Asociacion Rio Tala 11,Asociacion,NA,NA,1
RT12,1,1965,Asociacion Rio Tala 12,Asociacion,NA,NA,1
RT1x,1,1966,Consociacion Rio Tala 1,Consociacion,NA,NA,1
RT3,1,1967,Asociacion Rio Tala 3,Asociacion,NA,NA,1
RT4,1,1968,Asociacion Rio Tala 4,Asociacion,IIe,0,0
RTa,1,1969,Rio Tala,NA,IIIw,62,0
RTa1,1,1970,Consociacion Rio Tala 1,Consociacion,IIIes,65,0
RTa10,1,1971,Complejo Rio Tala 10,Complejo,IVws,36,0
RTa13,1,1972,Asociacion Rio Tala 13,Asociacion,NA,NA,1
RTa14,1,1973,Consociacion Rio Tala 14,Consociacion,IIIes,62,0
RTa15,1,1974,Consociacion Rio Tala 15,Consociacion,IIIes,48,0
RTa2,1,1975,Consociacion Rio Tala 2,Consociacion,NA,NA,1
RTa3,1,1976,Asociacion Rio Tala 3,Asociacion,IVes,36,0
RTa4,1,1977,Asociacion Rio Tala 4,Asociacion,NA,64,1
RTa5,1,1978,Consociacion Rio Tala 5,Consociacion,NA,57,1
RTa6,1,1979,Asociacion Rio Tala 6,Asociacion,IVes,35,0
RTa7,1,1980,Consociacion Rio Tala 7,Consociacion,IVes,34,0
RTa8,1,1981,Consociacion Rio Tala 8,Consociacion,IVe,34,0
RTa9,1,1982,Asociacion Rio Tala 9,Asociacion,IVes,45,0
RTx,1,1983,Consociacion Rio Tala,Consociacion,IIIw,0,0
Rw,1,1984,Complejo Rawson,Complejo,NA,NA,1
Rw1,1,1985,Complejo Rawson 1,Complejo,VIws,17,0
Sa,1,1986,Complejo Saladillo,Complejo,IVws,44,0
SA,1,1987,Consociacion Santa Ana,Consociacion,IVws,35,0
Sa1,1,1988,Asociacion Saladillo 1,Asociacion,IIIws,56,0
SA1,1,1989,Complejo Santa Ana 1,Complejo,IVws,39,0
Sa10,1,1990,Complejo Saladillo 10,Complejo,IIIws,65,0
Sa11,1,1991,Complejo Saladillo 11,Complejo,IIIws,57,0
Sa12,1,1992,Complejo Saladillo 12,Complejo,IVws,45,0
Sa13,1,1993,Complejo Saladillo 13,Complejo,IIIws,60,0
Sa2,1,1994,Complejo Saladillo 2,Complejo,IIIs,69,0
SA2,1,1995,Complejo Santa Ana 2,Complejo,VIws,23,0
Sa3,1,1996,Complejo Saladillo 3,Complejo,IIIws,59,0
Sa4,1,1997,Complejo Saladillo 4,Complejo,IIIws,58,0
Sa5,1,1998,Asociacion Saladillo 5,Asociacion,IIw,70,0
Sa6,1,1999,Complejo Saladillo 6,Complejo,IIIws,58,0
Sa7,1,2000,Complejo Saladillo 7,Complejo,IIIws,60,0
Sa9,1,2001,Asociacion Saladillo 9,Asociacion,IIIws,52,0
SaCh,1,2002,Asociacion Sauce Chico,Asociacion,NA,NA,1
SaCh1,1,2003,Asociacion Sauce Chico 1,Asociacion,NA,NA,1
Sal,1,2004,Salina,NA,VIII,0,0
SaL,1,2005,Asociacion Santa Luisa,Asociacion,IIIws,55,0
SaL1,1,2006,Asociacion Santa Luisa 1,Asociacion,IIIws,56,0
SaL2,1,2007,Complejo Santa Luisa 2,Complejo,IVws,37,0
SaL3,1,2008,Consociacion Santa Luisa 3,Consociacion,NA,NA,1
SB,1,2009,Asociacion Semillero Buck,Asociacion,IIIw,65,0
SB1,1,2010,Asociacion Semillero Buck 1,Asociacion,IIe,62,0
SB10,1,2011,Complejo Semillero Buck 10,Complejo,NA,49,1
SB11,1,2012,Complejo Semillero Buck 11,Complejo,IIIes,66,0
SB2,1,2013,Complejo Semillero Buck 2,Complejo,IIIes,61,0
SB3,1,2014,Complejo Semillero Buck 3,Complejo,IIIes,55,0
SB4,1,2015,Asociacion Semillero Buck 4,Asociacion,IIIws,64,0
SB5,1,2016,Asociacion Semillero Buck 5,Asociacion,IIw,70,0
SB6,1,2017,Asociacion Semillero Buck 6,Asociacion,IIIw,61,0
SB7,1,2018,Complejo Semillero Buck 7,Complejo,IVws,50,0
SB8,1,2019,Complejo Semillero Buck 8,Complejo,IIIs,56,0
SB9,1,2020,Complejo Semillero Buck 9,Complejo,IIIws,56,0
SBm,1,2021,Asociacion Estancia San Baldomero,Asociacion,VIws,20,0
