simb,n_simb,ucar_id,descr_ucar,tipo,cap_uso,ucar_ip,act
TA41,1,2236,Complejo Tres Arroyos 41,Complejo,IVws,37,0
TA42,1,2237,Consociacion Tres Arroyos 42,Consociacion,IIIs,56,0
TA43,1,2238,Complejo Tres Arroyos 43,Complejo,IVws,37,0
TA44,1,2239,Consociacion Tres Arroyos 44,Consociacion,IIIws,44,0
TA45,1,2240,Consociacion Tres Arroyos 45,Consociacion,IIIs,58,0
TA46,1,2241,Asociacion Tres Arroyos 46,Asociacion,IIIs,54,0
TA47,1,2242,Complejo Tres Arroyos 47,Complejo,IIIs,45,0
TA48,1,2243,Asociacion Tres Arroyos 48,Asociacion,IIIes,54,0
TA49,1,2244,Complejo Tres Arroyos 49,Complejo,IIIs,59,0
Ta5,1,2245,Consociacion Tandil 5,Consociacion,IIs,65,0
TA51,1,2246,Complejo Tres Arroyos 51,Complejo,IIIes,54,0
TA53,1,2247,Consociacion Tres Arroyos 53,Consociacion,IIIes,57,0
TA54,1,2248,Complejo Tres Arroyos 54,Complejo,IIIws,44,0
TA55,1,2249,Complejo Tres Arroyos 55,Complejo,IVws,35,0
TA56,1,2250,Complejo Tres Arroyos 56,Complejo,IVws,36,0
TA57,1,2251,Complejo Tres Arroyos 57,Complejo,IIIws,52,0
Ta6,1,2252,Complejo Tandil 6,Complejo,IIIws,47,0
TA6,1,2253,Complejo Tres Arroyos 6,Complejo,IIIs,50,0
TA60,1,2254,Consociacion Tres Arroyos 60,Consociacion,NA,44,1
TA61,1,2255,Complejo Tres Arroyos 61,Complejo,NA,43,1
TA62,1,2256,Asociacion Tres Arroyos 62,Asociacion,NA,NA,1
TA63,1,2257,Complejo Tres Arroyos 63,Complejo,NA,NA,1
TA64,1,2258,Complejo Tres Arroyos 64,Complejo,NA,NA,1
TA65,1,2259,Complejo Tres Arroyos 65,Complejo,NA,NA,1
TA66,1,2260,Complejo Tres Arroyos 66,Complejo,NA,NA,1
TA67,1,2261,Complejo Tres Arroyos 67,Complejo,NA,NA,1
TA68,1,2262,Complejo Tres Arroyos 68,Complejo,NA,NA,1
TA69,1,2263,Complejo Tres Arroyos 69,Complejo,NA,NA,1
Ta7,1,2264,Complejo Tandil 7,Complejo,IIIw,56,0
TA7,1,2265,Complejo Tres Arroyos 7,Complejo,IIIes,63,0
TA70,1,2266,Asociacion Tres Arroyos 70,Asociacion,NA,NA,1
TA71,1,2267,Asociacion Tres Arroyos 71,Asociacion,NA,NA,1
Ta72,1,2268,Complejo Tres Arroyos 72,Complejo,NA,NA,1
TA73,1,2269,Complejo Tres Arroyos 73,Complejo,NA,NA,1
TA74,1,2270,Complejo Tres Arroyos 74,Complejo,NA,NA,1
TA75,1,2271,Complejo Tres Arroyos 75,Complejo,NA,NA,1
TA76,1,2272,Complejo Tres Arroyos 76,Complejo,NA,NA,1
TA77,1,2273,Complejo Tres Arroyos 77,Complejo,NA,NA,1
TA78,1,2274,Complejo Tres Arroyos 78,Complejo,NA,NA,1
TA79,1,2275,Complejo Tres Arroyos 79,Complejo,NA,NA,1
Ta8,1,2276,Complejo Tandil 8,Complejo,NA,51,1
TA8,1,2277,Consociacion Tres Arroyos 8,Consociacion,IIIs,0,0
TA80,1,2278,Complejo Tres Arroyos 80,Complejo,NA,NA,1
TA81,1,2279,Complejo Tres Arroyos 81,Complejo,NA,NA,1
TA82,1,2280,Complejo Tres Arroyos 82,Complejo,NA,NA,1
TA83,1,2281,Complejo Tres Arroyos 83,Complejo,NA,NA,1
TA84,1,2282,Asociacion Tres Arroyos 84,Asociacion,NA,NA,1
TA85,1,2283,Complejo Tres Arroyos 85,Complejo,NA,NA,1
TA86,1,2284,Complejo Tres Arroyos 86,Complejo,NA,NA,1
TA87,1,2285,Consociacion Tres Arroyos 87,Consociacion,NA,NA,1
TA88,1,2286,Consociacion Tres Arroyos 88,Consociacion,NA,NA,1
Ta9,1,2287,Consociacion Tandil 9,Consociacion,NA,50,1
TA9,1,2288,Complejo Tres Arroyos 9,Complejo,IIIs,59,0
TA90,1,2289,Complejo Tres Arroyos 90,Complejo,NA,NA,1
Tdf,1,2290,Complejo Tandileofu,Complejo,IIIws,40,0
Tdf1,1,2291,Complejo Tandileofu 1,Complejo,VIws,26,0
TEs,1,2292,Complejo Tres Esquinas,Complejo,IIIw,50,0
TEs1,1,2293,Complejo Tres Esquinas 1,Complejo,IIIws,56,0
TEs2,1,2294,Complejo Tres Esquinas 2,Complejo,IVws,50,0
TEs3,1,2295,Complejo Tres Esquinas 3,Complejo,IVws,53,0
TEs4,1,2296,Complejo Tres Esquinas 4,Complejo,IIIw,56,0
TEs5,1,2297,Complejo Tres Esquinas 5,Complejo,IIIw,63,0
TJ,1,2298,Consociacion Tomas Jofre,Consociacion,Vw,48,0
TN,1,2299,Asociacion Tambo Nuevo,Asociacion,NA,NA,1
Tor1,1,2300,Asociacion Tornquist 1,Asociacion,IIIsc,52,0
Tor2,1,2301,Asociacion Tornquist 2,Asociacion,IIIsc,60,0
Tor3,1,2302,Asociacion Tornquist 3,Asociacion,IIIsc,55,0
Tor4,1,2303,Asociacion Tornquist 4,Asociacion,IIIsc,55,0
Tri,1,2305,Asociacion Tronconi,Asociacion,VIws,26,0
Tri1,1,2306,Complejo Tronconi 1,Complejo,VIws,14,0
Tt,1,2307,Complejo Tatay,Complejo,VIws,17,0
Tt1,1,2308,Complejo Tatay 1,Complejo,VIIws,8,0
Tt2,1,2309,Complejo Tatay 2,Complejo,VIws,16,0
Tt3,1,2310,Complejo Tatay 3,Complejo,VIws,23,0
Ty,1,2311,Complejo El Tuyu,Complejo,VIes,22,0
Ty1,1,2312,Complejo El Tuyu 1,Complejo,VIew,22,0
Ty2,1,2313,Complejo El Tuyu 2,Complejo,VIew,13,0
Ty3,1,2314,Complejo El Tuyu 3,Complejo,VIes,15,0
Tyu,1,2315,Complejo Tuyuti,Complejo,VIws,16,0
Tyu1,1,2316,Complejo Tuyuti 1,Complejo,VIIws,5,0
Ud,1,2317,Consociacion Udaondo,Consociacion,I-2,0,0
Ud1,1,2318,Asociacion Udaondo 1,Asociacion,IIIws,50,0
Ud10,1,2319,Complejo Udaondo 10,Complejo,IIIw,62,0
Ud13,1,2320,Complejo Udaondo 13,Complejo,IVws,46,0
Ud15,1,2321,Consociacion Udaondo 15,Consociacion,IIIw,62,0
Ud16,1,2322,Asociacion Udaondo 16,Asociacion,IIIws,55,0
Ud17,1,2323,Consociacion Udaondo 17,Consociacion,IIIw,60,0
Ud18,1,2324,Asociacion Udaondo 18,Asociacion,IVws,35,0
Ud2,1,2325,Asociacion Udaondo 2,Asociacion,IIIws,58,0
Ud3,1,2326,Consociacion Udaondo 3,Consociacion,IIIe,62,0
Ud4,1,2327,Consociacion Udaondo 4,Consociacion,IIIw,62,0
Ud5,1,2328,Complejo Udaondo 5,Complejo,IIIws,52,0
Ud6,1,2329,Complejo Udaondo 6,Complejo,IVws,47,0
Ud7,1,2330,Udaondo 7,NA,IIIws,57,0
Ud8,1,2331,Asociacion Udaondo 8,Asociacion,IIIw,62,0
Ud9,1,2332,Consociacion Udaondo 9,Consociacion,IIIe,62,0
Ur,1,2333,Consociacion Urquiza,Consociacion,IIw,75,0
Ur1x,1,2334,Consociacion Urquiza 1,Consociacion,IIIew,53,0
Ur2,1,2335,Asociacion Urquiza 2,Asociacion,IIIws,60,0
Va1,1,2336,Complejo Vedia 1,Complejo,VIws,20,0
Va2,1,2337,Consociacion Vedia 2,Consociacion,VIIws,14,0
VD,1,2338,Asociacion Videla Dorna,Asociacion,VIws,21,0
VD1,1,2339,Asociacion Videla Dorna 1,Asociacion,VIws,21,0
Ve,1,2340,Consociacion Veronica,Consociacion,VIws,28,0
Ve1,1,2341,Asociacion Veronica 1,Asociacion,IVws,28,0
Ve2,1,2342,Consociacion Veronica 2,Consociacion,IIIw,31,0
Ve3,1,2343,Consociacion Veronica 3,Consociacion,IVws,34,0
Ve4,1,2344,Consociacion Veronica 4,Consociacion,IVw,34,0
Ve5,1,2345,Complejo Veronica 5,Complejo,VIws,20,0
Ve6,1,2346,Asociacion Veronica 6,Asociacion,VIws,30,0
Ve7,1,2347,Consociacion Veronica 7,Consociacion,VIws,34,0
Vi,1,2348,Asociacion Vichahuel,Asociacion,VIws,12,0
Vi2,1,2349,Complejo Vichahuel 2,Complejo,VIws,18,0
Vi3,1,2350,Asociacion Vichahuel 3,Asociacion,VIws,13,0
VM,1,2351,Asociacion Villa Moll,Asociacion,VIws,28,0
VM1,1,2352,Complejo Villa Moll 1,Complejo,VIws,17,0
VM2,1,2353,Consociacion Villa Moll 2,Consociacion,VIws,30,0
VM3,1,2354,Consociacion Villa Moll 3,Consociacion,IVws,32,0
VM4,1,2355,Complejo Villa Moll 4,Complejo,IIIws,56,0
VM5,1,2356,Asociacion Villa Moll 5,Asociacion,VIws,28,0
VM6,1,2357,Complejo Villa Moll 6,Complejo,NA,NA,1
VMy,1,2358,Asociacion Veinticinco de Mayo,Asociacion,VIes,14,0
VMy1,1,2359,Consociacion Veinticinco de Mayo 1,Consociacion,VIes,21,0
VMy2,1,2360,Asociacion Veinticinco de Mayo 2,Asociacion,IVes,32,0
VMy3,1,2361,Consociacion Veinticinco de Mayo 3,Consociacion,VIes,18,0
VMy4,1,2362,Asociacion Veinticinco de Mayo 4,Asociacion,VIIes,15,0
VR,1,2363,Complejo Villa Roch,Complejo,VIes,52,0
VR1,1,2364,Asociacion Villa Roch 1,Asociacion,IVes,37,0
Vy,1,2365,Consociacion Vieytes,Consociacion,VIws,27,0
Vy1,1,2366,Complejo Vieytes 1,Complejo,VIws,25,0
Vy2,1,2367,Complejo Vieytes 2,Complejo,VIws,24,0
Ww10,1,2368,Asociacion Wheelwright 10,Asociacion,NA,NA,1
Ww11,1,2369,Complejo Wheelwright 11,Complejo,NA,NA,1
Ww4,1,2370,Complejo Wheelwright 4,Complejo,IVws,39,0
Ww5,1,2371,Consociacion Wheelwright 5,Consociacion,IVws,39,0
Ww6,1,2372,Complejo Wheelwright 6,Complejo,IIIw,61,1
Ww7,1,2373,Asociacion Wheelwright 7,Asociacion,IVws,53,1
Ww9,1,2374,Complejo Wheelwright 9,Complejo,NA,NA,1
NA,1,0,NA,NA,NA,NA,0
