serie,taxo
Las Margaritas,Natracualf petrocalcico
Las Nutrias,Hapludol acuico
La Nueva Esperanza,Natracuol tipico
Los Naranjos,Hapludol thapto argico
Loberia,Argiudol acuico
La Otomana,Hapludol thapto argico
Lobos,Argiudol tipico
La Otomana,NA
La Paulina,Natracualf petrocalcico
La Pandorga,Hapludol thapto natrico
La Ponderosa,Hapludol litico
La Retranca,Argiudol vertico
La Saturna,Natracualf tipico
La Tigra,Natrudol tipico
Estancia La Victoria,Pelludert tipico
Arenas y conchillas,Complejo indiferenciado
Manantiales,Natracualf tipico
Mercedes,Argiudol tipico
Mar Chiquita,Argiudol tipico
Magdalena,Paleudol acuico
Mechongue,Natracuol tipico
General Madariaga,Natracuert tipico
Minana,Natracualf petrocalcico
Membrillar,Hapludol acuico
Moquehua,Argialbol tipico
Molina,Haplustol litico
Mar del Plata,Argiudol tipico
Maipu,Hapludol thapto argico
Morse,Natralbol tipico
Maria Teresa,Hapludol tipico
Monte,Natrudol tipico
Monsalvo,Argiudol acuico
Navarro,Argialbol argiacuico
Napaleofu,Argialbol argiacuico
Naposta,Haplustol petrocalcico
Nueva Roma,Ustortent litico
Ochandio,Hapludol tipico
Olavarria,Argiudol tipico
Orense,Hapludol thapto natrico
Ostende,Haplacuol tipico
Payro,Argiacuol vertico
Punta Alta,Haplustol entico
Pichincha,Hapludol thapto natrico
Pillahuinco,Argiudol litico
Punta Indio,Hapludol entico
Pila,Argiudol abruptico
Pigue,Haplustol cumulico
Pinamar,Hapludert tipico
Phajouape,Haplustol tipico
Pehuajo,Hapludol tipico
Paraje Los Angeles,Hapludol fluventico
Punta Medanos,Udipsament tipico
Puan,Haplustol tipico
Poblet,Natracualf tipico
Pipinas,Argiudol tipico
Pieres,Argialbol argiacuico
Puerto Rosales,Cuarzipsament tipico
Patricios,Natralbol tipico
Pueblitos,Argiacuol tipico
Pirovano,Udipsamente thapto molico
Peyrano,Argiudol vertico
Querandies,Natracuol tipico
Ramallo,Argiudol vertico
Bahia Samborombon,Complejo indiferenciado
Rauch,Natracuol tipico
Rancho Grande,Hapludol litico
Rancagua,Natracualf tipico
Estancia Renana,Natracualf molico
Estancia Renana,Natracualf  molico
Rio Quequen,Hapludol tipico
Ramon Santamarina,Argiudol tipico
Rawson,Natralbol tipico
Saladillo,Hapludol thapto argico
Santa Ana,Hapludol acuico
Santa Luisa,Argiudol acuico
Estancia San Baldomero,Epiacuol tipico
Sierra Chica,Natrudol petrocalcico
Segui,Hapludol tipico
San Gabriel,Natracualf molico
San Isidro,Natracualf tipico
Santa Lucia,Natracuol tipico
San Luis Beltran,Albacualf vertico
Capitan Sarmiento,Argiudol vertico
Sola,Haplustol entico
Sierra de los Padres,Hapludol litico
San Pedro,Hapludol cumulico
Santa Regina,Hapludol thapto argico
Santa Rita,Natracuol tipico
Santa Teresita,Hapludol thapto argico
