ucar_id,simb,serie,porc,fase,posicion
1552,Ne17,Necochea,60,moderadamente bien drenada y superficial gruesa,loma plana
1552,Ne17,La Malacara,20,NA,bajo
1552,Ne17,Comandante Nicanor Otamendi,10,NA,cubeta
1552,Ne17,NA,10,NA,cubeta
1553,Ne18,Necochea,50,moderadamente drenada,loma baja
1553,Ne18,La Malacara,30,NA,tendido
1553,Ne18,San Pedro,10,NA,microloma arenosa
1553,Ne18,NA,10,NA,bajo
1594,No2,Norumbega,40,NA,Lomas
1594,No2,Veinticinco de Mayo,30,NA,Lomas medanosas
1594,No2,Norumbega,20,moderadamente inclinada,Pendientes
1594,No2,NA,10,poco anegable,NA
1612,No4,Norumbega,60,NA,loma
1612,No4,Ortiz de Rosas,20,NA,pie de loma
1612,No4,Estacion Naon,10,NA,media loma
1612,No4,NA,10,NA,bajos
1725,Or49,Ortiz de Rosas,40,algo pobremente drenada,Loma
1725,Or49,Pichincha,30,NA,Media loma
1725,Or49,Saboya,20,moderadamente bien drenada,Loma
1725,Or49,NA,10,NA,Bajo
1868,Py4,Peyrano,35,NA,loma
1868,Py4,Gelly,35,NA,bajo
1868,Py4,Santa Lucia,20,NA,bajo
1868,Py4,NA,10,NA,NA
2050,SG7,San Gregorio,40,NA,Plano medio
2050,SG7,Lazzarino,40,NA,Plano alto
2050,SG7,Vedia,10,NA,Plano bajo
2050,SG7,NA,10,NA,Tendido bajo
2213,Ta26,Tandil,35,llana,Loma
2213,Ta26,Azul,30,NA,Loma
2213,Ta26,Cinco Cerros,20,llana,Loma
2213,Ta26,NA,15,NA,Loma
